,price,ilan_no,ilan_tarih,marka,seri,model,yıl,km,vites_tipi,yakıt_tipi,kasa_tipi,motor_hacmi,motor_gucu,cekis,boya_degisen,arac_turu,garanti,plaka_uyruk,renk,Araç ilk sahibindenmi,Yıllık mtv tutarı,Takasa uygunmu,tramer,sag_arka_camurluk,arka_kaput,sol_arka_camurluk,tavan,sol_arka_kapi,sol_on_kapi,sag_on_camurluk,motor_kaputu,sol_on_camurluk,on_tampon,arka_tampon,sag_arka_kapi,sag_on_kapi
641,1.345.000,22096840,23 Mart 2023,BMW,5 Serisi,520d Exclusive,2011,190.000 km,Otomatik,Dizel,Sedan,1995 cc,184 hp,Arkadan İtiş,Belirtilmemiş,Bireysel,-,(TR) Türkiye,-,İlk Sahibiyim,3.047 TL,Takasa Uygun Değil,,,,,,,,,,,,,Lokal Boyanmış,
642,345.000,22230002,23 Mart 2023,BMW,3 Serisi,318Ci,2001,274.000 km,Otomatik,LPG & Benzin,Coupe,1895 cc,118 hp,Arkadan İtiş,Takasa Uygun:,Bireysel,-,(TR) Türkiye,-,İlk Sahibiyim,1.198 TL,Takasa Uygun Değil,Toplam Tramer Tutarı: 1.600 TL,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış
643,1.055.000,21035042,23 Mart 2023,BMW,1 Serisi,116d Joy Plus,2017,35.000 km,Otomatik,Dizel,Hatchback/5,1496 cc,116 hp,Arkadan İtiş,Takasa Uygun:,Bireysel,Garantisi Yok,(TR) Türkiye,Beyaz,İlk Sahibi Değilim,2.769 TL,Takasa Uygun Değil,Tramer tutarı yok,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal
644,3.325.000,21833536,23 Mart 2023,BMW,5 Serisi,520i 50th Year M Edition,2022,6.100 km,Otomatik,Benzin,Sedan,1597 cc,170 hp,Arkadan İtiş,Takasa Uygun:,Taksi,Garantisi Var,(TR) Türkiye,Gri,İlk Sahibi Değilim,4.434 TL,Takasa Uygun,,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal
645,1.415.000,22230507,23 Mart 2023,BMW,5 Serisi,525d xDrive M Sport,2012,185.000 km,Otomatik,Dizel,Sedan,1995 cc,218 hp,4WD (Sürekli),Takasa Uygun:,Bireysel,Garantisi Yok,(TR) Türkiye,Lacivert,İlk Sahibiyim,5.119 TL,Takasa Uygun Değil,Toplam Tramer Tutarı: 1.200 TL,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal
646,550.000,22230356,23 Mart 2023,BMW,1 Serisi,116i Standart,2011,143.674 km,Otomatik,LPG & Benzin,Hatchback/5,1596 cc,116 hp,Arkadan İtiş,Takasa Uygun:,Bireysel,Garantisi Yok,(TR) Türkiye,Füme,İlk Sahibi Değilim,1.135 TL,Takasa Uygun Değil,Toplam Tramer Tutarı: 16.913 TL,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Boyanmış,Boyanmış,Orijinal,Orijinal,Boyanmış,Boyanmış,Orijinal,Boyanmış
647,2.300.000,21847892,22 Mart 2023,BMW,5 Serisi,520i M Sport,2018,28.800 km,Otomatik,Benzin,Sedan,1597 cc,170 hp,Arkadan İtiş,Takasa Uygun:,Bireysel,-,(TR) Türkiye,-,İlk Sahibiyim,,Takasa Uygun Değil,Tramer tutarı yok,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal
648,1.850.000,21192778,22 Mart 2023,BMW,5 Serisi,520i Comfort Plus,2017,102.000 km,Otomatik,Benzin,Sedan,1597 cc,170 hp,Arkadan İtiş,Takasa Uygun:,Bireysel,Garantisi Yok,(TR) Türkiye,Beyaz,İlk Sahibi Değilim,2.769 TL,Takasa Uygun,Tramer tutarı yok,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal
649,863.000,22228189,22 Mart 2023,BMW,5 Serisi,520d Premium,2011,327.000 km,Otomatik,Dizel,Sedan,1995 cc,184 hp,Arkadan İtiş,Belirtilmemiş,Şirket,Garantisi Yok,(TR) Türkiye,Beyaz,İlk Sahibi Değilim,3.047 TL,Takasa Uygun Değil,,,,Lokal Boyanmış,,,,Lokal Boyanmış,,,,,,
650,579.750,22227644,22 Mart 2023,BMW,1 Serisi,116i M Sport,2013,185.000 km,Otomatik,Benzin,Hatchback/5,1598 cc,136 hp,Arkadan İtiş,Takasa Uygun:,Bireysel,Garantisi Var,(TR) Türkiye,Beyaz,İlk Sahibiyim,1.606 TL,Takasa Uygun,Toplam Tramer Tutarı: 55.000 TL,Değişmiş,,Boyanmış,,Değişmiş,Boyanmış,Değişmiş,,Boyanmış,,,Değişmiş,Değişmiş
651,1.345.000,22227285,22 Mart 2023,BMW,5 Serisi,520d Premium,2013,151.000 km,Otomatik,Dizel,Sedan,1995 cc,184 hp,Arkadan İtiş,Belirtilmemiş,Bireysel,Garantisi Yok,(TR) Türkiye,Gri,İlk Sahibi Değilim,5.119 TL,Takasa Uygun,Toplam Tramer Tutarı: 3.725 TL,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Lokal Boyanmış,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal
652,750.000,22227208,22 Mart 2023,BMW,7 Serisi,745i Long,2005,360.000 km,Otomatik,Benzin,Sedan,4398 cc,333 hp,Arkadan İtiş,Belirtilmemiş,Bireysel,Garantisi Yok,(TR) Türkiye,Gri,İlk Sahibi Değilim,7.178 TL,Takasa Uygun Değil,,,,,,,,,,,,,,
653,1.280.000,22227059,22 Mart 2023,BMW,5 Serisi,520d Comfort,2012,159.000 km,Otomatik,Dizel,Sedan,1995 cc,184 hp,Arkadan İtiş,Belirtilmemiş,Bireysel,Garantisi Yok,(TR) Türkiye,Beyaz,İlk Sahibiyim,5.119 TL,Takasa Uygun Değil,,,,,,,,,,,,,,
654,1.425.000,22023315,22 Mart 2023,BMW,5 Serisi,520i Executive Luxury Line,2015,125.000 km,Otomatik,Benzin,Sedan,1592 cc,170 hp,Arkadan İtiş,Takasa Uygun:,Şirket,Garantisi Yok,(TR) Türkiye,Siyah,İlk Sahibi Değilim,1.606 TL,Takasa Uygun,Toplam Tramer Tutarı: 22.958 TL,,,,,Boyanmış,,,,,,,,
