,price,ilan_no,ilan_tarih,marka,seri,model,yıl,km,vites_tipi,yakıt_tipi,kasa_tipi,motor_hacmi,motor_gucu,cekis,boya_degisen,arac_turu,garanti,plaka_uyruk,renk,Araç ilk sahibindenmi,Yıllık mtv tutarı,Takasa uygunmu,tramer,sag_arka_camurluk,arka_kaput,sol_arka_camurluk,tavan,sol_arka_kapi,sol_on_kapi,sag_on_camurluk,motor_kaputu,sol_on_camurluk,on_tampon,arka_tampon,sag_arka_kapi,sag_on_kapi
1461,280.000,22211025,20 Mart 2023,Mercedes - Benz,200,E,1991,360.000 km,Yarı Otomatik,LPG & Benzin,Sedan,1801 - 2000 cm3,126 - 150 HP,Arkadan İtiş,Takasa Uygun:,Bireysel,-,(TR) Türkiye,Beyaz,İlk Sahibi Değilim,,Takasa Uygun,Toplam Tramer Tutarı: 1.266 TL,,,,,,Boyanmış,Boyanmış,,Boyanmış,,,,Boyanmış
1462,230.000,22196665,19 Mart 2023,Mercedes - Benz,200,D,1988,429.000 km,Otomatik,Dizel,Sedan,1201 - 1400 cm3,76 - 100 HP,Arkadan İtiş,Takasa Uygun:,Bireysel,Garantisi Yok,(TR) Türkiye,Beyaz,İlk Sahibi Değilim,,Takasa Uygun Değil,Tramer tutarı yok,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış
1463,245.000,22195869,19 Mart 2023,Mercedes - Benz,200,E,1990,343.000 km,Düz,Benzin,Sedan,1997 cc,118 hp,Arkadan İtiş,Belirtilmemiş,Bireysel,-,(TR) Türkiye,-,İlk Sahibiyim,1.198 TL,Takasa Uygun Değil,,,,,,,,,,,,,,
1464,244.000,21998861,18 Mart 2023,Mercedes - Benz,200,E,1990,229.000 km,Düz,LPG & Benzin,Sedan,1997 cc,118 hp,Arkadan İtiş,Belirtilmemiş,,,,,,,,,,,,,,,,,,,,,
1465,180.000,22190444,18 Mart 2023,Mercedes - Benz,200,E,1989,304.000 km,Düz,LPG & Benzin,Sedan,1997 cc,118 hp,Arkadan İtiş,Belirtilmemiş,Bireysel,-,(TR) Türkiye,Şampanya,İlk Sahibi Değilim,1.198 TL,Takasa Uygun,,,,,,,,,,,,,,
1466,295.000,22192909,18 Mart 2023,Mercedes - Benz,200,E,1992,360.000 km,Otomatik,LPG & Benzin,Hatchback/5,,,,Belirtilmemiş,Bireysel,-,(TR) Türkiye,-,İlk Sahibiyim,,Takasa Uygun Değil,,,,,,,,,,,,,,
1467,194.850,20332923,18 Mart 2023,Mercedes - Benz,200,D,1984,500.000 km,Düz,Dizel,Sedan,1997 cc,75 hp,Arkadan İtiş,Takasa Uygun:,Bireysel,Garantisi Yok,(TR) Türkiye,Yeşil,İlk Sahibi Değilim,1.198 TL,Takasa Uygun,Tramer tutarı belirtilmemiş,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış
1468,205.000,22189060,17 Mart 2023,Mercedes - Benz,200,CE,1991,295.000 km,Otomatik,LPG & Benzin,Coupe,1996 cc,121 hp,Arkadan İtiş,Takasa Uygun:,Bireysel,Garantisi Yok,(TR) Türkiye,Gri,İlk Sahibi Değilim,1.198 TL,Takasa Uygun,Tramer tutarı yok,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Değişmiş,Boyanmış,Lokal Boyanmış,Boyanmış,Boyanmış,Boyanmış
1469,345.000,22176456,16 Mart 2023,Mercedes - Benz,200,E,1990,245.000 km,Düz,LPG & Benzin,Sedan,1997 cc,118 hp,Arkadan İtiş,Takasa Uygun:,,,,,,,,Toplam Tramer Tutarı: 2.000 TL,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,,,Boyanmış,Boyanmış
1470,280.000,22173438,15 Mart 2023,Mercedes - Benz,200,E,1992,227.000 km,Düz,LPG & Benzin,Sedan,1997 cc,136 hp,Arkadan İtiş,Belirtilmemiş,Bireysel,Garantisi Yok,(TR) Türkiye,Kahverengi,İlk Sahibi Değilim,1.198 TL,Takasa Uygun Değil,,,,,,,,,,,,,,
1471,207.000,22165674,15 Mart 2023,Mercedes - Benz,200,E,1991,273.000 km,Düz,LPG & Benzin,Sedan,1997 cc,118 hp,Arkadan İtiş,Belirtilmemiş,Bireysel,-,(TR) Türkiye,-,İlk Sahibiyim,1.198 TL,Takasa Uygun Değil,,,,,,,,,,,,,,
1472,320.000,22167008,14 Mart 2023,Mercedes - Benz,200,E,1992,394.000 km,Otomatik,LPG & Benzin,Sedan,1801 - 2000 cm3,126 - 150 HP,Arkadan İtiş,Belirtilmemiş,Bireysel,Garantisi Yok,(TR) Türkiye,Gri (metalik),İlk Sahibi Değilim,,Takasa Uygun Değil,,,,,,,,,,,,,,
1473,245.000,22164171,14 Mart 2023,Mercedes - Benz,200,E,1991,343.750 km,Düz,LPG & Benzin,Sedan,1997 cc,118 hp,Arkadan İtiş,Belirtilmemiş,Bireysel,-,(TR) Türkiye,-,İlk Sahibiyim,1.198 TL,Takasa Uygun Değil,,,,,,,,,,,,,,
1474,210.000,22162550,14 Mart 2023,Mercedes - Benz,200,E,1989,450.000 km,Düz,LPG & Benzin,Sedan,-,-,-,Belirtilmemiş,Bireysel,Garantisi Yok,(TR) Türkiye,-,İlk Sahibi Değilim,,Takasa Uygun Değil,,,,,,,,,,,,,,
1475,190.000,22162227,14 Mart 2023,Mercedes - Benz,200,E,1989,731.000 km,Düz,LPG & Benzin,Sedan,1997 cc,118 hp,Arkadan İtiş,Takasa Uygun:,Bireysel,-,(TR) Türkiye,-,İlk Sahibiyim,1.198 TL,Takasa Uygun Değil,,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış
1476,225.000,22162089,14 Mart 2023,Mercedes - Benz,200,E,1990,350.000 km,Otomatik,LPG & Benzin,Sedan,,,,Belirtilmemiş,Bireysel,-,(TR) Türkiye,-,İlk Sahibiyim,,Takasa Uygun Değil,,,,,,,,,,,,,,
1477,190.000,22160545,14 Mart 2023,Mercedes - Benz,200,D,1988,556.000 km,Düz,Dizel,Sedan,1997 cc,75 hp,Arkadan İtiş,Belirtilmemiş,,,,,,,,,,,,,,,,,,,,,
1478,195.000,22159520,14 Mart 2023,Mercedes - Benz,200,D,1987,510.000 km,Düz,Dizel,Sedan,1997 cc,75 hp,Arkadan İtiş,Belirtilmemiş,Bireysel,-,(TR) Türkiye,-,İlk Sahibiyim,1.198 TL,Takasa Uygun Değil,,,,,,,,,,,,,,
1479,265.000,22161327,14 Mart 2023,Mercedes - Benz,200,E,1993,490.000 km,Otomatik,LPG & Benzin,Sedan,,,,Takasa Uygun:,Bireysel,-,(TR) Türkiye,-,İlk Sahibiyim,,Takasa Uygun Değil,Toplam Tramer Tutarı: 15.000 TL,Boyanmış,Değişmiş,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış
1480,175.000,22156686,13 Mart 2023,Mercedes - Benz,200,D,1986,545.000 km,Düz,Dizel,Sedan,1997 cc,75 hp,Arkadan İtiş,Takasa Uygun:,Bireysel,-,(TR) Türkiye,-,İlk Sahibiyim,1.198 TL,Takasa Uygun Değil,,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Değişmiş,Boyanmış,Boyanmış,Boyanmış,Boyanmış
1481,270.000,22147731,12 Mart 2023,Mercedes - Benz,200,E,1990,490.000 km,Düz,LPG & Benzin,Sedan,1997 cc,118 hp,Arkadan İtiş,Belirtilmemiş,Bireysel,-,(TR) Türkiye,-,İlk Sahibiyim,1.198 TL,Takasa Uygun Değil,,,,,,,,,,,,,,
